GeneFusion	Publication	Diagnosis_MM
IGH::ID4	t(6;14)(p22;q32): a new recurrent IGH@ translocation involving ID4 in B-cell precursor acute lymphoblastic leukemia (BCP-ALL)., Russell et al 2008, Blood, 2008, 111:387-391, 17940204	Acute lymphoblastic leukemia/lymphoblastic lymphoma
LMO2+,PICALM::MLLT10,STIL::TAL1,TLX1+,TLX3+	Prognostic significance of molecular-cytogenetic abnormalities in pediatric T-ALL is not explained by immunophenotypic differences., van Grotel et al 2008, Leukemia, 2008, 22:124-131, 17928886	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Outcome of ETV6/RUNX1-positive childhood acute lymphoblastic leukaemia in the NOPHO-ALL-1992 protocol: frequent late relapses but good overall survival., Forestier et al 2008, Br J Haematol, 2008, 140:665-672, 18241254	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1	Prognostic factors for leukemic induction failure in children with acute lymphoblastic leukemia and outcome after salvage therapy: the FRALLE 93 study., Oudot et al 2008, J Clin Oncol, 2008, 26:1496-1503, 18349402	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Clinical significance of minimal residual disease in childhood acute lymphoblastic leukemia and its relationship to other prognostic factors: a Children's Oncology Group study., Borowitz et al 2008, Blood, 2008, 111:5477-5485, 18388178	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1,ETV6::RUNX1,KMT2A+	Acute lymphoblastic leukemia in adolescents and young adults in Finland., Usvasalo et al 2008, Haematologica, 2008, 93:1161-1168, 18556413	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1,ETV6::RUNX1,KMT2A+	The application of conventional cytogenetics, FISH, and RT-PCR to detect genetic changes in 70 children with ALL., Soszynska et al 2008, Ann Hematol, 2008, 87:991-1002, 18633615	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1	Incidence and clinical outcome of children with BCR/ABL-positive acute lymphoblastic leukemia (ALL). A prospective RT-PCR study based on 673 patients enrolled in the German pediatric multicenter therapy trials ALL-BFM-90 and CoALL-05-92., Schlieben et al 1996, Leukemia, 1996, 10:957-963, 8667652	Acute lymphoblastic leukemia/lymphoblastic lymphoma
NUP214::ABL1	Rapid complete cytogenetic remission after upfront dasatinib monotherapy in a patient with a NUP214-ABL1-positive T-cell acute lymphoblastic leukemia., Deenik et al 2009, Leukemia, 2009, 23:627-629, 18987655	Acute lymphoblastic leukemia/lymphoblastic lymphoma
KMT2A::TET1	The MLL recombinome of adult CD10-negative B-cell precursor acute lymphoblastic leukemia: results from the GMALL study group., Burmeister et al 2009, Blood, 2009, 113:4011-4015, 19144982	Acute lymphoblastic leukemia/lymphoblastic lymphoma
KMT2A::ACTN4	The MLL recombinome of adult CD10-negative B-cell precursor acute lymphoblastic leukemia: results from the GMALL study group., Burmeister et al 2009, Blood, 2009, 113:4011-4015, 19144982	Acute lymphoblastic leukemia/lymphoblastic lymphoma
TCF3::PBX1	Increased risk for CNS relapse in pre-B cell leukemia with the t(1;19)/TCF3-PBX1., Jeha et al 2009, Leukemia, 2009, 23:1406-1409, 19282835	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1	Detection and clinical relevance of BCR-ABL fusion gene in childhood T-lineage acute lymphoblastic leukemia: a report on 4 cases., Sazawal et al 2009, J Pediatr Hematol Oncol, 2009, 31:850-852, 19816207	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Cytogenetics of long-term survivors of ETV6-RUNX1 fusion positive acute lymphoblastic leukemia., Konn et al 2010, Genes Chromosomes Cancer, 2010, 49:253-259, 19998443	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1,KMT2A+	A population-based cytogenetic study of adults with acute lymphoblastic leukemia., Moorman et al 2010, Blood, 2010, 115:206-214, 19897583	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Long-term results of the pediatric oncology group studies for childhood acute lymphoblastic leukemia 1984-2001: a report from the children's oncology group., Salzer et al 2010, Leukemia, 2010, 24:355-370, 20016527	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1,TCF3::PBX1	Clinical features and prognostic implications of TCF3-PBX1 and ETV6-RUNX1 in adult acute lymphoblastic leukemia., Burmeister et al 2010, Haematologica, 2010, 95:241-246, 19713226	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1,ETV6::RUNX1,KMT2A+	Prognostic effect of chromosomal abnormalities in childhood B-cell precursor acute lymphoblastic leukaemia: results from the UK Medical Research Council ALL97/99 randomised trial., Moorman et al 2010, Lancet Oncol, 2010, 11:429-438, 20409752	Acute lymphoblastic leukemia/lymphoblastic lymphoma
P2RY8::CRLF2	Presence of the P2RY8-CRLF2 rearrangement is associated with a poor prognosis in non-high-risk precursor B-cell acute lymphoblastic leukemia in children treated according to the ALL-BFM 2000 protocol., Cario et al 2010, Blood, 2010, 115:5393-5397, 20378752	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1,ETV6::RUNX1,KMT2A+,TCF3::PBX1	Down syndrome childhood acute lymphoblastic leukemia has a unique spectrum of sentinel cytogenetic lesions that influences treatment outcome: a report from the Children's Oncology Group., Maloney et al 2010, Blood, 2010, 116:1045-1050, 20442364	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1	Prognostic significance of immunophenotypic and karyotypic features of Philadelphia positive B-lymphoblastic leukemia in the era of tyrosine kinase inhibitors., Jaso et al 2011, Cancer, 2011, 117:4009-4017, 21365622	Acute lymphoblastic leukemia/lymphoblastic lymphoma
TCF3::PBX1	Paediatric B-cell precursor acute lymphoblastic leukaemia with t(1;19)(q23;p13): clinical and cytogenetic characteristics of 47 cases from the Nordic countries treated according to NOPHO protocols., Andersen et al 2011, Br J Haematol, 2011, 155:235-243, 21902680	Acute lymphoblastic leukemia/lymphoblastic lymphoma
TCF3::PBX1	Prognostic impact of t(1;19)/TCF3-PBX1 in childhood acute lymphoblastic leukemia in the context of Berlin-Frankfurt-Munster-based protocols., Felice et al 2011, Leuk Lymphoma, 2011, 52:1215-1221, 21534874	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	ETV6-RUNX1-positive childhood acute lymphoblastic leukemia: improved outcome with contemporary therapy., Bhojwani et al 2012, Leukemia, 2012, 26:265-270, 21869842	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Additional aberrations of the ETV6 and RUNX1 genes have no prognostic impact in 229 t(12;21)(p13;q22)-positive B-cell precursor acute lymphoblastic leukaemias treated according to the NOPHO-ALL-2000 protocol., Barbany et al 2012, Leuk Res, 2012, 36:936-938, 22521551	Acute lymphoblastic leukemia/lymphoblastic lymphoma
P2RY8::CRLF2	Poor prognosis for P2RY8-CRLF2 fusion but not for CRLF2 over-expression in children with intermediate risk B-cell precursor acute lymphoblastic leukemia., Palmi et al 2012, Leukemia, 2012, 26:2245-2253, 22484421	Acute lymphoblastic leukemia/lymphoblastic lymphoma
P2RY8::CRLF2	Small sizes and indolent evolutionary dynamics challenge the potential role of P2RY8-CRLF2-harboring clones as main relapse-driving force in childhood ALL., Morak et al 2012, Blood, 2012, 120:5134-5142, 23091296	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Prognostic value of genetic alterations in children with first bone marrow relapse of childhood B-cell precursor acute lymphoblastic leukemia., Krentz et al 2013, Leukemia, 2013, 27:295-304, 22699455	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1	Allogeneic hematopoietic stem cell transplantation for Philadelphia-positive acute lymphoblastic leukemia in children and adolescents: a retrospective multicenter study of the Italian Association of Pediatric Hematology and Oncology (AIEOP)., Fagioli et al 2012, Biol Blood Marrow Transplant, 2012, 18:852-860, 22019726	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1	Lack of negative impact of Philadelphia chromosome in older patients with acute lymphoblastic leukaemia in the thyrosine kinase inhibitor era: comparison of two prospective parallel protocols., Ribera et al 2012, Br J Haematol, 2012, 159:485-488, 22966847	Acute lymphoblastic leukemia/lymphoblastic lymphoma
